,id_img,denoiser,runtime
165,16,SD_repeat_20,0.0038432270230259746
166,16,SD_repeat_50,0.009872549009742215
167,16,SD_only1,0.0002837590000126511
168,16,AD_repeat_20,0.004500670009292662
169,16,AD_only1,0.0003320680116303265
170,17,SD,0.003933580010198057
171,17,AD,0.004526061005890369
172,17,SD1,0.0002891619806177914
173,17,AD1,0.00031473900889977813
174,17,DRUNet,0.01885194901842624
175,17,SD_repeat_20,0.0038283219910226762
176,17,SD_repeat_50,0.009960051975212991
177,17,SD_only1,0.00028515097801573575
178,17,AD_repeat_20,0.004526807024376467
179,17,AD_only1,0.0003334929933771491
180,18,SD,0.004002517001936212
181,18,AD,0.004532498976914212
182,18,SD1,0.0002932570059783757
183,18,AD1,0.00030743697425350547
184,18,DRUNet,0.018861941003706306
185,18,SD_repeat_20,0.0038532209873665124
186,18,SD_repeat_50,0.010056316998088732
187,18,SD_only1,0.0002868839947041124
188,18,AD_repeat_20,0.004483439988689497
189,18,AD_only1,0.0003271320019848645
190,19,SD,0.003914208005880937
191,19,AD,0.004485114011913538
192,19,SD1,0.0002850550226867199
193,19,AD1,0.00031496898736804724
194,19,DRUNet,0.018827886000508443
195,19,SD_repeat_20,0.00384417999885045
196,19,SD_repeat_50,0.00990955502493307
197,19,SD_only1,0.00028363298042677343
198,19,AD_repeat_20,0.004546630021650344
199,19,AD_only1,0.0003342500131111592
200,20,SD,0.004038378014229238
201,20,AD,0.004575863014906645
202,20,SD1,0.0002928229805547744
203,20,AD1,0.00030886800959706306
204,20,DRUNet,0.018828942003892735
205,20,SD_repeat_20,0.003876631992170587
206,20,SD_repeat_50,0.010002916998928413
207,20,SD_only1,0.0002820939989760518
208,20,AD_repeat_20,0.0045008870074525476
209,20,AD_only1,0.00032603999716229737
210,21,SD,0.0039024889993015677
211,21,AD,0.004484358010813594
212,21,SD1,0.00028866500360891223
213,21,AD1,0.00031186200794763863
214,21,DRUNet,0.018845963990315795
215,21,SD_repeat_20,0.0038393130234908313
216,21,SD_repeat_50,0.009814065007958561
217,21,SD_only1,0.00028361400472931564
218,21,AD_repeat_20,0.004532652004854754
219,21,AD_only1,0.00032802001805976033
220,22,SD,0.004034433979541063
221,22,AD,0.004586103983456269
222,22,SD1,0.00029726099455729127
223,22,AD1,0.00031104599474929273
224,22,DRUNet,0.0188225370075088
225,22,SD_repeat_20,0.003927929006749764
226,22,SD_repeat_50,0.010007300006691366
227,22,SD_only1,0.0002832729951478541
228,22,AD_repeat_20,0.004521994007518515
229,22,AD_only1,0.0003564210201147944
230,23,SD,0.003938428009860218
231,23,AD,0.0045026410080026835
232,23,SD1,0.00028319100965745747
233,23,AD1,0.0003064399934373796
234,23,DRUNet,0.018885137978941202
235,23,SD_repeat_20,0.0038324290071614087
